Table 21: US Population Estimates by State - 1991 - 2014 (in Thousands),,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/state of residence,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"Average
Annual %
Growth
(1991-2014)",,
Colorado,"3,387","3,496","3,614","3,724","3,827","3,920","4,018","4,117","4,226","4,327","4,426","4,490","4,529","4,575","4,632","4,720","4,804","4,890","4,972","5,049","5,118","5,190","5,268","5,350",2.0%,,
Idaho,"1,041","1,072","1,109","1,145","1,177","1,203","1,229","1,252","1,276","1,299","1,320","1,340","1,363","1,392","1,428","1,469","1,505","1,534","1,554","1,571","1,584","1,596","1,612","1,634",2.0%,,
Montana,810,826,845,861,877,886,890,892,898,904,907,912,920,930,940,953,965,976,984,991,998,"1,005","1,014","1,023",1.0%,,
Utah,"1,780","1,837","1,898","1,960","2,014","2,068","2,120","2,166","2,203","2,245","2,284","2,325","2,360","2,402","2,458","2,526","2,598","2,663","2,723","2,775","2,816","2,856","2,903","2,942",2.2%,,
Wyoming,459,466,473,480,485,488,489,491,492,494,495,500,503,509,514,523,535,546,560,565,568,577,583,584,1.0%,,
Far West,"41,428","42,226","42,798","43,271","43,745","44,314","45,054","45,798","46,506","47,188","47,891","48,493","49,053","49,602","50,090","50,571","51,031","51,609","52,168","52,695","53,186","53,681","54,159","54,689",1.2%,,
Alaska,570,589,599,603,604,609,613,620,625,628,634,642,648,659,667,675,680,687,699,714,723,731,737,737,1.1%,,
California,"30,471","30,975","31,275","31,484","31,697","32,019","32,486","32,988","33,499","33,988","34,479","34,872","35,253","35,575","35,828","36,021","36,250","36,604","36,961","37,333","37,677","38,011","38,335","38,681",1.0%,,
Hawaii,"1,137","1,159","1,173","1,188","1,197","1,204","1,212","1,215","1,210","1,214","1,226","1,240","1,251","1,274","1,293","1,310","1,316","1,332","1,347","1,364","1,378","1,392","1,406","1,416",1.0%,,
Nevada,"1,296","1,351","1,411","1,499","1,582","1,666","1,764","1,853","1,935","2,019","2,098","2,174","2,249","2,346","2,432","2,523","2,601","2,654","2,685","2,703","2,718","2,753","2,786","2,833",3.5%,,
Oregon,"2,929","2,992","3,060","3,121","3,184","3,247","3,304","3,352","3,394","3,430","3,468","3,513","3,547","3,569","3,613","3,671","3,722","3,769","3,809","3,838","3,868","3,899","3,926","3,968",1.3%,,
Washington,"5,026","5,161","5,279","5,375","5,481","5,570","5,675","5,770","5,843","5,911","5,986","6,052","6,104","6,179","6,257","6,371","6,462","6,562","6,667","6,743","6,823","6,895","6,968","7,054",1.5%,,
NOTE: Numbers may not add to totals shown because of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Census Bureau, Population Division",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
